100606,"Delta Tel. Co., Inc."
100607,"Franklin Tel. Co., Inc."
100608,"Fulton Tel. Co., Inc."
100609,Georgetown Tel. Co.
100610,"Lakeside Tel. Co., Inc."
100611,"Noxapater Tel. Co., Inc."
100612,"Mound Bayou Tel. and Communications, Inc."
100613,BPS Telephone Company
100614,"Sledge Tel. Co., Inc."
100615,Atlantic Tel. Membership Corp.
100616,Barnardsville Tel. Co.
100617,"Cass County Telephone Co., LP"
100618,Citizens Tel. Co. - NC
100619,"Ellerbe Tel. Co., Inc."
100620,"West Plains Telecommunications, Inc."
100621,Lexcom Telephone Company
100622,"MEBTel, Inc."
100623,North State Tel. Co. dba North State Communications
100624,Pineville Tel. Co.
100625,Piedmont Tel. Membership Corp.
100626,Saluda Mountain Tel. Co.
100627,Service Tel. Co.
100628,Star Tel. Membership Corp.
100629,Surry Tel. Membership Corp.
100630,Tri-County Tel. Membership Corp.
100631,Wilkes Tel. Membership Corp.
100632,"Bluffton Tel. Co., Inc."
100633,Chesnee Tel. Co.
100634,Chester Tel. Co.
100635,Fort Mill Tel. Co.
100636,"Home Tel. Co., - SC"
100637,"Horry Tel. Coop., Inc."
100638,Lancaster Tel. Co.
100639,"Lockhart Tel. Co., Inc."
100640,"McClellanville Tel. Co., Inc."
100641,"Palmetto Rural Tel. Coop., Inc."
100642,"PBT Telecom, Inc."
100643,"Ridgeway Tel. Co., Inc."
100644,Rock Hill Tel. Co.
100645,St. Stephen Tel. Co.
100646,"Sandhill Tel. Coop., Inc."
100647,"West Carolina Rural Tel. Coop., Inc."
100648,Williston Tel. Co.
100649,Bledsoe Tel. Coop.
100650,"Crockett Tel. Co., Inc."
100651,Dekalb Tel. Coop.
100652,United Telephone-Southeast
100653,"Loretto Tel. Co., Inc."
100654,"Millington Tel. Co., Inc."
100655,"Peoples Tel. Co., - LA"
100656,Twin Lakes Tel. Coop. Corp.
100657,"United Tel. Co., Inc."
100658,"West Tennessee Tel. Co., Inc."
100659,Arthur Mutual Tel. Co.
100660,Ayersville Tel. Co.
100661,Bascom Mutual Tel. Co.
100662,Benton Ridge Tel. Co.
100663,Buckland Telephone Company
100664,Chillicothe Tel. Co.
100665,McClure Tel. Co.
100666,Columbus Grove Tel. Co.
100667,Conneaut Tel. Co.
100668,Heritage Telephone Company
100669,Ft. Jennings Tel. Co.
100670,Germantown Independent Tel. Co.
100671,"Glandorf Tel. Co., Inc."
100672,"Kalida Tel. Co., Inc."
100673,"Nextgen Telephone, Inc. - NY"
100674,Middle Point Home Tel. Co.
100675,Minford Tel. Co.
